"id","type","uz","ru","prompt"
"verb-10","verb","qaytmoq","возвращаться","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qaytmoq"" meaning ""возвращаться"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-11","verb","koʻrmoq","видеть","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""koʻrmoq"" meaning ""видеть"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-12","verb","koʻrsatmoq","показывать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""koʻrsatmoq"" meaning ""показывать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-13","verb","koʻtarmoq","поднимать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""koʻtarmoq"" meaning ""поднимать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-14","verb","qaramoq","смотреть","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qaramoq"" meaning ""смотреть"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-15","verb","boʻyamoq","красить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""boʻyamoq"" meaning ""красить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-16","verb","bekitmoq","прятать, закрывать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bekitmoq"" meaning ""прятать, закрывать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-17","verb","yashirmoq","прятать, скрывать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yashirmoq"" meaning ""прятать, скрывать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-18","verb","sanamoq","считать числа","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sanamoq"" meaning ""считать числа"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-19","verb","saqlamoq","хранить, сохранять","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""saqlamoq"" meaning ""хранить, сохранять"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-20","verb","surmoq","двигать, отодвигать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""surmoq"" meaning ""двигать, отодвигать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-21","verb","soʻramoq","спрашивать, просить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""soʻramoq"" meaning ""спрашивать, просить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-22","verb","tanlamoq","выбирать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""tanlamoq"" meaning ""выбирать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-23","verb","termoq","собирать руками","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""termoq"" meaning ""собирать руками"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-24","verb","yigʻmoq","собирать вместе","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yigʻmoq"" meaning ""собирать вместе"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-25","verb","tugatmoq","закончить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""tugatmoq"" meaning ""закончить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-26","verb","bajarmoq","выполнить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bajarmoq"" meaning ""выполнить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-27","verb","javob bermoq","отвечать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""javob bermoq"" meaning ""отвечать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-28","verb","oʻtmoq","проходить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oʻtmoq"" meaning ""проходить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-29","verb","rejalashtirmoq","планировать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""rejalashtirmoq"" meaning ""планировать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-30","verb","ruxsat bermoq","разрешить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ruxsat bermoq"" meaning ""разрешить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-31","verb","qilmoq","делать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qilmoq"" meaning ""делать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-32","verb","uchrashmoq","встречаться","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""uchrashmoq"" meaning ""встречаться"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-33","verb","tasdiqlamoq","утверждать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""tasdiqlamoq"" meaning ""утверждать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-34","verb","yechmoq","решать задачу","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yechmoq"" meaning ""решать задачу"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-35","verb","jonga tegmoq","надоесть","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""jonga tegmoq"" meaning ""надоесть"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-36","verb","koʻzdan kechirmoq","просматривать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""koʻzdan kechirmoq"" meaning ""просматривать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-37","noun","rahbar","руководитель","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""rahbar"" meaning ""руководитель"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-38","noun","boshliq","начальник","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""boshliq"" meaning ""начальник"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-39","noun","ishchi","рабочий","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ishchi"" meaning ""рабочий"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-40","noun","mehmon","гость","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""mehmon"" meaning ""гость"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-41","noun","hujjat","документ","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""hujjat"" meaning ""документ"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-42","noun","foyda","прибыль, польза","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""foyda"" meaning ""прибыль, польза"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-43","noun","pul","деньги","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""pul"" meaning ""деньги"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-44","noun","ish","работа, дело","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ish"" meaning ""работа, дело"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-45","noun","ofis","офис","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ofis"" meaning ""офис"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-46","noun","uy","дом","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""uy"" meaning ""дом"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-47","noun","koʻcha","улица","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""koʻcha"" meaning ""улица"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-48","noun","bogʻ","сад, парк","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bogʻ"" meaning ""сад, парк"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-49","noun","devor","стена","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""devor"" meaning ""стена"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-50","noun","yoʻl","дорога, путь","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yoʻl"" meaning ""дорога, путь"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-51","noun","sayohat","путешествие","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sayohat"" meaning ""путешествие"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-52","noun","ovqat","еда, пища","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ovqat"" meaning ""еда, пища"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-53","noun","kitob","книга","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kitob"" meaning ""книга"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-54","noun","stol","стол","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""stol"" meaning ""стол"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-55","noun","stul","стул","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""stul"" meaning ""стул"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-56","noun","kafe","кафе","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kafe"" meaning ""кафе"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-57","noun","qahva","кофе","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qahva"" meaning ""кофе"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-58","noun","choy","чай","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""choy"" meaning ""чай"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-59","noun","non","хлеб","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""non"" meaning ""хлеб"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-60","noun","kompyuter","компьютер","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kompyuter"" meaning ""компьютер"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-61","noun","narsa","вещь","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""narsa"" meaning ""вещь"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-62","noun","masala","задача","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""masala"" meaning ""задача"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-63","noun","reja","план","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""reja"" meaning ""план"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-64","noun","maktab","школа","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""maktab"" meaning ""школа"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-65","noun","mashina","машина","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""mashina"" meaning ""машина"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-66","noun","daraxt","дерево","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""daraxt"" meaning ""дерево"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-67","noun","komanda","команда","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""komanda"" meaning ""команда"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-68","noun","odam","человек","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""odam"" meaning ""человек"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-69","noun","kishi","человек","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kishi"" meaning ""человек"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-70","noun","maosh","зарплата","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""maosh"" meaning ""зарплата"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-71","noun","oylik","зарплата","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oylik"" meaning ""зарплата"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-72","noun","sotuv","продажа","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sotuv"" meaning ""продажа"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-73","noun","qoʻngʻiroq","звонок, созвон","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""qoʻngʻiroq"" meaning ""звонок, созвон"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"noun-74","noun","yil","год","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yil"" meaning ""год"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-75","pronoun","men","я","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""men"" meaning ""я"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-76","pronoun","sen","ты","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sen"" meaning ""ты"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-77","pronoun","u","он, она, оно","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""u"" meaning ""он, она, оно"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-78","pronoun","biz","мы","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""biz"" meaning ""мы"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-79","pronoun","siz","вы","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""siz"" meaning ""вы"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-80","pronoun","ular","они","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ular"" meaning ""они"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-81","pronoun","menga","мне","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""menga"" meaning ""мне"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-82","pronoun","senga","тебе","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""senga"" meaning ""тебе"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-83","pronoun","unga","ему, ей","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""unga"" meaning ""ему, ей"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-84","pronoun","bizga","нам","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bizga"" meaning ""нам"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-85","pronoun","sizga","вам","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""sizga"" meaning ""вам"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-86","pronoun","ularga","им","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ularga"" meaning ""им"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"pronoun-87","pronoun","meni","меня","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""meni"" meaning ""меня"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
